Name,AltName,OrigName,State,County1,County2,County3,OrigCounty,Established,Discontinued,Continuous,StampIndex,ID,Coordinates,Duration,GNIS.Match,GNIS.Name,GNIS.County,GNIS.State,GNIS.FEATURE_ID,GNIS.Feature.Class,GNIS.OrigName,GNIS.OrigCounty,GNIS.Latitude,GNIS.Longitude,GNIS.ELEV_IN_M,GNIS.Dist,Latitude,Longitude
VERNON,,VERNON,NY,ONEIDA,,,Oneida,1804,,FALSE,0,59444,TRUE,,TRUE,VERNON,ONEIDA,NY,2618166,Post Office,Vernon Post Office,Oneida,43.0795014,-75.5383429,193,1,43.0795014,-75.5383429
WATERTOWN,,WATERTOWN,NY,JEFFERSON,,,Jefferson,1804,,TRUE,0,60627,TRUE,,TRUE,WATERTOWN,JEFFERSON,NY,2795849,Post Office,Watertown Post Office,Jefferson,43.9808412,-75.9392597,128,1,43.9808412,-75.9392597
WATKINSVILLE,,WATKINSVILLE (CH),GA,OCONEE,,,Oconee,1804,,TRUE,0,60658,TRUE,,TRUE,WATKINSVILLE,OCONEE,GA,356826,Post Office,Watkinsville Post Office,Oconee,33.8672115,-83.4140661,203,1,33.8672115,-83.4140661
WEST STOCKBRIDGE,,WEST STOCKBRIDGE,MA,BERKSHIRE,,,Berkshire,1804,,TRUE,0,61820,TRUE,,TRUE,WEST STOCKBRIDGE,BERKSHIRE,MA,1978992,Post Office,West Stockbridge Post Office,Berkshire,42.3339109,-73.3688036,275,1,42.3339109,-73.3688036
WESTMINSTER,,WESTMINSTER,MA,WORCESTER,,,Worcester,1804,,TRUE,0,61978,TRUE,,TRUE,WESTMINSTER,WORCESTER,MA,1980629,Post Office,Westminster Post Office,Worcester,42.5474083,-71.9162511,327,1,42.5474083,-71.9162511
WEYMOUTH,,WEYMOUTH,MA,NORFOLK,,,Norfolk,1804,1903,TRUE,1,62097,TRUE,99,TRUE,WEYMOUTH,NORFOLK,MA,1974069,Post Office,Weymouth Post Office,Norfolk,42.2182119,-70.9666097,13,1,42.2182119,-70.9666097
WINDGAP,,WINDGAP,PA,NORTHAMPTON,,,Northampton,1804,,TRUE,0,63044,TRUE,,TRUE,WINDGAP,NORTHAMPTON,PA,1214121,Post Office,Windgap Post Office (historical),Northampton,40.8275958,-75.2796244,204,1,40.8275958,-75.2796244
WYSOX,,WYSOX,PA,BRADFORD,,,Bradford,1804,,TRUE,0,63839,TRUE,,TRUE,WYSOX,BRADFORD,PA,2768378,Post Office,Wysox Post Office,Bradford,41.7732155,-76.4033714,219,1,41.7732155,-76.4033714
ADAIR,,ADAIR C.H.,KY,ADAIR,,,Adair,1804,1825,TRUE,6,64480,TRUE,21,TRUE,ADAIR,ADAIR,KY,485748,School,Adair School,Adair,37.1056186,-85.3185729,247,1,37.1056186,-85.3185729
ALEXANDRIANA,,ALEXANDRIANA,NC,MECKLENBURG,,,Mecklenburg,1804,1886,FALSE,5,64896,TRUE,82,TRUE,ALEXANDRIANA,MECKLENBURG,NC,983757,Populated Place,Alexandriana,Mecklenburg,35.3448623,-80.8242382,256,1,35.3448623,-80.8242382
AUSTINBURG,AUSTINBURGH,AUSTINBURG(H),OH,ASHTABULA,,,Ashtabula,1804,,TRUE,0,66516,TRUE,,TRUE,AUSTINBURG,ASHTABULA,OH,1957437,Post Office,Austinburg Post Office,Ashtabula,41.7721667,-80.8523904,249,1,41.7721667,-80.8523904
BARBOURSVILLE,,BARBOURSVILLE,KY,KNOX,,,Knox,1804,,TRUE,0,67095,TRUE,,TRUE,BARBOURVILLE,KNOX,KY,2543221,Post Office,Barbourville Post Office,Knox,36.8696069,-83.8826588,296,0.923076923,36.8696069,-83.8826588
BIBBS STORE,,BIBBS STORE,VA,LOUISA,,,Louisa,1804,1813,TRUE,9,68737,TRUE,9,TRUE,BIBBS STORE,LOUISA,VA,1463289,Locale,Bibbs Store,Louisa,38.0918041,-77.9494412,107,1,38.0918041,-77.9494412
BRIDGE BRANCH,,BRIDGE BRANCH,DE,SUSSEX,,,Sussex,1804,1822,TRUE,7,70616,TRUE,18,TRUE,BRIDGE BRANCH,SUSSEX,DE,213706,Populated Place,Bridge Branch,Sussex,38.7426137,-75.6043714,13,1,38.7426137,-75.6043714
BROWNS STORE,,BROWNS STORE,NC,CASWELL,,,Caswell,1804,1846,TRUE,7,71094,TRUE,42,TRUE,BROWNS STORE,CASWELL,NC,1006283,Populated Place,Browns Store,Caswell,36.3626369,-79.4461344,184,1,36.3626369,-79.4461344
BUCKHANNON,,BUCKHANNON,WV,UPSHUR,,,Upshur,1804,,TRUE,0,71379,TRUE,,TRUE,BUCKHANNON,UPSHUR,WV,1696654,Post Office,Buckhannon Post Office,Upshur,38.9932619,-80.2294188,433,1,38.9932619,-80.2294188
CALLAGHAN,CALLAGHAN'S,CALLAGHAN('S),VA,ALLEGHANY,,,Alleghany,1804,1919,TRUE,3,72240,TRUE,115,TRUE,CALLAGHAN,ALLEGHANY,VA,1492692,Populated Place,Callaghan,Alleghany,37.81207,-80.07423,419,1,37.81207,-80.07423
CHRISTIAN,,CHRISTIAN C.H.,KY,CHRISTIAN,,,Christian,1804,1815,TRUE,8,74268,TRUE,11,TRUE,CHRISTIAN,CHRISTIAN,KY,516870,Civil,Christian County,Christian,36.89418,-87.49038,187,,36.89418,-87.49038
CLARKS STORE,,CLARKS STORE,NC,MARTIN,,,Martin,1804,1842,TRUE,5,74524,TRUE,38,TRUE,CLARKS STORE,MARTIN,NC,1006708,Locale,Clarks Store (historical),Martin,36.02321,-77.29191,24,1,36.02321,-77.29191
CUCKOOVILLE,,CUCKOOVILLE,VA,LOUISA,,,Louisa,1804,1866,TRUE,5,77029,FALSE,62,FALSE,,,,,,,,,,,,,
DANCEY'S STORE,DANCEYS STORE,DANCEY'S STORE,NC,NORTHAMPTON,,,Northampton,1804,1836,TRUE,7,77456,FALSE,32,FALSE,,,,,,,,,,,,,
DARNES,,DARNES,MD,MONTGOMERY,,,Montgomery,1804,1824,TRUE,5,77571,TRUE,20,TRUE,DARNES,MONTGOMERY,MD,590068,Populated Place,Darnes,Montgomery,39.10344,-77.29082,134,1,39.10344,-77.29082
DEERFIELD,,DEERFIELD,OH,PORTAGE,,,Portage,1804,,TRUE,0,77962,TRUE,,TRUE,DEERFIELD,PORTAGE,OH,2055499,Post Office,Deerfield Post Office,Portage,41.02606,-81.05075,328,1,41.02606,-81.05075
DRUMMOND'S,DRUMMONDS,DRUMMOND'S,VA,BRUNSWICK,,,Brunswick,1804,1810,TRUE,9,79209,FALSE,6,FALSE,,,,,,,,,,,,,
FRAYSER'S TAVERN,FRAYSERS TAVERN,FRAYSER'S TAVERN,VA,NEW KENT,,,New Kent,1804,1813,TRUE,9,83753,FALSE,9,FALSE,,,,,,,,,,,,,
GATES COURTHOUSE.,,GATES COURTHOUSE.,NC,GATES,,,Gates,1804,1831,FALSE,6,84521,TRUE,27,TRUE,GATES COURTHOUSE,GATES,NC,1025334,Populated Place,Gates Courthouse,Gates,36.40349,-76.75301,7,0.9411765,36.40349,-76.75301
GERMANNA,,GERMANNA,VA,ORANGE,,,Orange,1804,1866,FALSE,6,84742,FALSE,62,FALSE,,,,,,,,,,,,,
GLENNS,GLENN'S,GLENN(')S,VA,GLOUCESTER,,,Gloucester,1804,1954,TRUE,1,85269,TRUE,150,TRUE,GLENNS,GLOUCESTER,VA,1477356,Populated Place,Glenns,Gloucester,37.5657,-76.61273,27,1,37.5657,-76.61273
GREENLAND,,GREENLAND,VA,PITTSYLVANIA,,,Pittsylvania,1804,1813,TRUE,8,86316,TRUE,9,TRUE,GLENLAND,PITTSYLVANIA,VA,1495595,Populated Place,Glenland,Pittsylvania,36.99958,-79.21808,214,0.7777778,36.99958,-79.21808
GUM SPRING,GUM SPRINGS,GUM SPRING(S),VA,ORANGE,,,Orange/Louisa,1804,,FALSE,0,86745,FALSE,,FALSE,,,,,,,,,,,,,
HAMILTON,,HAMILTON,OH,BUTLER,,,Butler,1804,,TRUE,0,87139,TRUE,,TRUE,HAMILTON,BUTLER,OH,1965245,Post Office,Hamilton Post Office,Butler,39.39915,-84.56367,182,1,39.39915,-84.56367
HARDIN,,HARDIN C.H.,KY,HARDIN,,,Hardin,1804,1822,TRUE,8,87428,TRUE,18,TRUE,HARDIN,HARDIN,KY,516893,Civil,Hardin County,Hardin,37.69792,-85.96337,238,,37.69792,-85.96337
HARPERSFIELD,,HARPERSFIELD,OH,ASHTABULA,,,Ashtabula,1804,1903,FALSE,4,87592,TRUE,99,TRUE,HARPERSFIELD,ASHTABULA,OH,1958946,Post Office,Harpersfield Post Office (historical),Ashtabula,41.75978,-80.94704,260,1,41.75978,-80.94704
HUDSON,,HUDSON,OH,SUMMIT,,,Summit,1804,,TRUE,0,90079,TRUE,,TRUE,HUDSON,SUMMIT,OH,1083491,Post Office,Hudson Post Office,Summit,41.23751,-81.43795,323,1,41.23751,-81.43795
KEYS MILLS,,KEYS MILLS,VA,ALBEMARLE,,,Albemarle,1804,1813,TRUE,8,92568,FALSE,9,FALSE,,,,,,,,,,,,,
KILMARNOCK,,KILMARNOCK,VA,LANCASTER,,,Lancaster,1804,,TRUE,0,92665,TRUE,,TRUE,KILMARNOCK,LANCASTER,VA,2767228,Post Office,Kilmarnock Post Office,Lancaster,37.71593,-76.38178,25,1,37.71593,-76.38178
MAHONVILLE,,MAHONVILLE,KY,MASON,,,Mason,1804,1805,TRUE,9,96838,FALSE,1,FALSE,,,,,,,,,,,,,
MILL CREEK,,MILL CREEK,WV,BERKELEY,,,Berkeley,1804,1879,TRUE,4,99239,TRUE,75,TRUE,MILL CREEK,BERKELEY,WV,1727653,Post Office,Mill Creek Post Office,Berkeley,39.33616,-78.05331,170,1,39.33616,-78.05331
MILLERSBURG,MILLERSBURGH,MILLERSBURG(H),KY,BOURBON,,,Bourbon,1804,,TRUE,0,99369,TRUE,,TRUE,MILLERSBURG,BOURBON,KY,2793916,Post Office,Millersburg Post Office,Bourbon,38.30123,-84.15014,240,1,38.30123,-84.15014
MINTONVILLE,,MINTONVILLE,VA,GOOCHLAND,,,Goochland,1804,1826,TRUE,7,99680,FALSE,22,FALSE,,,,,,,,,,,,,
MITCHELL'S STORE,MITCHELLS STORE,MITCHELL'S STORE,VA,LOUISA,,,Louisa/Goochland,1804,1847,FALSE,7,99751,FALSE,43,FALSE,,,,,,,,,,,,,
MONTAGUE,,MONTAGUE,VA,ESSEX,,,Essex,1804,1955,TRUE,1,99997,TRUE,151,TRUE,MONTAGUE,ESSEX,VA,1470684,Populated Place,Montague,Essex,37.7682,-76.73746,35,1,37.7682,-76.73746
NORTHAMPTON,,NORTHAMPTON C.H.,NC,NORTHAMPTON,,,Northampton,1804,1836,TRUE,6,103020,TRUE,32,TRUE,NORTHAMPTON,NORTHAMPTON,NC,1008575,Civil,Northampton County,Northampton,36.41773,-77.39682,35,,36.41773,-77.39682
ORANGE SPRINGS,,ORANGE SPRINGS,VA,ORANGE,,,Orange,1804,1866,TRUE,3,104163,FALSE,62,FALSE,,,,,,,,,,,,,
PITTSVILLE,,PITTSVILLE,VA,ESSEX,,,Essex,1804,1823,TRUE,7,106628,FALSE,19,FALSE,,,,,,,,,,,,,
POLAND,,POLAND,OH,MAHONING,,,Mahoning,1804,1955,TRUE,1,107087,TRUE,151,TRUE,POLAND,MAHONING,OH,2035713,Post Office,Poland Post Office (historical),Mahoning,41.02367,-80.61507,318,1,41.02367,-80.61507
POTTIESVILLE,,POTTIESVILLE,VA,LOUISA,,,Louisa,1804,1852,TRUE,3,107524,FALSE,48,FALSE,,,,,,,,,,,,,
ROUND BOTTOM MILLS,,ROUND BOTTOM MILLS,OH,HAMILTON,,,Hamilton,1804,1816,TRUE,6,110782,FALSE,12,FALSE,,,,,,,,,,,,,
SCIOTA SALT SPRINGS,,SCIOTA SALT SPRINGS,OH,ROSS,,,Ross,1804,1824,TRUE,7,112309,TRUE,20,TRUE,SCIOTO SALT SPRINGS,ROSS,OH,1063057,Populated Place,Scioto Salt Springs,Ross,39.25312,-82.90907,186,0.9473684,39.25312,-82.90907
SHELTONBORO,SHELTONBOROUGH,SHELTONBORO(UGH),VA,PITTSYLVANIA,,,Pittsylvania,1804,1819,FALSE,8,113064,FALSE,15,FALSE,,,,,,,,,,,,,
SHELTON'S STORE,SHELTONS STORE,SHELTON'S STORE,VA,GOOCHLAND,,,Goochland,1804,1821,TRUE,8,113066,FALSE,17,FALSE,,,,,,,,,,,,,
SPOTTED TAVERN,,SPOTTED TAVERN,VA,STAFFORD,,,Stafford,1804,1825,FALSE,7,114758,FALSE,21,FALSE,,,,,,,,,,,,,
SPRINGFIELD,,SPRINGFIELD,OH,CLARK,,,Clark,1804,,TRUE,0,114945,TRUE,,TRUE,SPRINGFIELD,CLARK,OH,1082399,Post Office,Springfield Post Office,Clark,39.92663,-83.80778,289,1,39.92663,-83.80778
SPRINGFIELD,,SPRINGFIELD,OH,MUSKINGUM,,,Muskingum,1804,1817,TRUE,6,114946,TRUE,13,TRUE,SPRINGFIELD,MUSKINGUM,OH,2041190,Post Office,Springfield Post Office,Muskingum,39.92229,-82.00819,215,1,39.92229,-82.00819
STAFFORD COURTHOUSE,STAFFORD,STAFFORD COURTHOUSE,VA,STAFFORD,,,Stafford,1804,1895,TRUE,2,115074,TRUE,91,TRUE,STAFFORD,STAFFORD,VA,2766299,Post Office,Stafford Post Office,Stafford,38.45002,-77.40157,16,1,38.45002,-77.40157
STEVENSBURG,STEVENSBURGH,STEVENSBURG(H),VA,CULPEPER,,,Culpeper,1804,,FALSE,0,115451,TRUE,,TRUE,STEVENSBURG,CULPEPER,VA,2766302,Post Office,Stevensburg Post Office,Culpeper,38.44094,-77.89726,112,1,38.44094,-77.89726
STOW,,STOW,OH,SUMMIT,,,Summit,1804,1954,FALSE,1,115791,TRUE,150,TRUE,STOW,SUMMIT,OH,1083162,Post Office,Stow Post Office,Summit,41.17113,-81.44104,346,1,41.17113,-81.44104
TERRYVILLE,,TERRYVILLE,VA,MECKLENBURG,,,Mecklenburg,1804,1819,TRUE,8,117141,FALSE,15,FALSE,,,,,,,,,,,,,
TIMBERLAKE'S STORE,TIMBERLAKES STORE,TIMBERLAKE'S STORE,VA,FLUVANNA,,,Fluvanna,1804,1813,TRUE,9,117513,FALSE,9,FALSE,,,,,,,,,,,,,
UNION MILLS,,UNION MILLS,MD,FREDERICK,,,Frederick/Carroll,1804,1899,TRUE,2,118766,FALSE,95,FALSE,,,,,,,,,,,,,
VANSVILLE,,VANSVILLE,MD,PRINCE GEORGE'S,,,Prince Georges,1804,1835,TRUE,7,119221,TRUE,31,TRUE,VANSVILLE,PRINCE GEORGE'S,MD,1714245,Post Office,Vansville Post Office,Prince George's,39.0336,-76.91275,46,1,39.0336,-76.91275
WAYNESVILLE,,WAYNESVILLE,OH,WARREN,,,Warren,1804,,TRUE,0,120827,TRUE,,TRUE,WAYNESVILLE,WARREN,OH,2796430,Post Office,Waynesville Post Office,Warren,39.5298,-84.08744,231,1,39.5298,-84.08744
WINDSOR,,WINDSOR,OH,ASHTABULA,,,Ashtabula,1804,,TRUE,0,122588,TRUE,,TRUE,WINDSOR,ASHTABULA,OH,1957427,Post Office,Windsor Post Office,Ashtabula,41.53552,-80.93345,251,1,41.53552,-80.93345
ANDOVER,,ANDOVER,NJ,SUSSEX,,,Sussex,1805,,TRUE,0,1266,TRUE,,TRUE,ANDOVER,SUSSEX,NJ,2802308,Post Office,Andover Post Office,Sussex,40.9882983,-74.7414841,182,1,40.9882983,-74.7414841
ARGYLE,,ARGYLE,NY,WASHINGTON,,,Washington,1805,,TRUE,0,1666,TRUE,,TRUE,ARGYLE,WASHINGTON,NY,2598334,Post Office,Argyle Post Office,Washington,43.2342292,-73.4901336,89,1,43.2342292,-73.4901336
ARLINGTON,,ARLINGTON,VT,BENNINGTON,,,Bennington,1805,,TRUE,0,1734,TRUE,,TRUE,ARLINGTON,BENNINGTON,VT,1920168,Post Office,Arlington Post Office,Bennington,43.0705513,-73.1564017,197,1,43.0705513,-73.1564017
ARMAGH,,ARMAGH,PA,INDIANA,,,Indiana,1805,,TRUE,0,1741,TRUE,,TRUE,ARMAGH,INDIANA,PA,2772575,Post Office,Armagh Post Office,Indiana,40.4540173,-79.0309037,466,1,40.4540173,-79.0309037
BARNWELL,,BARNWELL (CH),SC,BARNWELL,,,Barnwell,1805,,TRUE,0,3096,TRUE,,TRUE,BARNWELL,BARNWELL,SC,1252198,Post Office,Barnwell Post Office,Barnwell,33.2443936,-81.3637739,70,1,33.2443936,-81.3637739
BERLIN,,BERLIN,PA,SOMERSET,,,Somerset,1805,,TRUE,0,4447,TRUE,,TRUE,BERLIN,SOMERSET,PA,2772594,Post Office,Berlin Post Office,Somerset,39.9209704,-78.9576456,705,1,39.9209704,-78.9576456
BEULA,,BEULA,PA,CAMBRIA,,,Cambria,1805,1807,TRUE,9,4691,TRUE,2,TRUE,BEULA,CAMBRIA,PA,1203082,Populated Place,Beula,Cambria,40.4767385,-78.7719662,566,1,40.4767385,-78.7719662
BOSCAWEN,,BOSCAWEN,NH,MERRIMACK,,,Merrimack,1805,1903,TRUE,1,6080,TRUE,98,TRUE,BOSCAWEN,MERRIMACK,NH,865716,Populated Place,Boscawen,Merrimack,43.3150786,-71.6209083,97,1,43.3150786,-71.6209083
BRIDPORT,,BRIDPORT,VT,ADDISON,,,Addison,1805,,TRUE,0,6860,TRUE,,TRUE,BRIDPORT,ADDISON,VT,1918043,Post Office,Bridport Post Office,Addison,43.9874021,-73.3127196,100,1,43.9874021,-73.3127196
BROWNINGTON,,BROWNINGTON,VT,ORLEANS,,,Orleans,1805,1905,TRUE,4,7271,TRUE,100,TRUE,BROWNINGTON,ORLEANS,VT,1456606,Populated Place,Brownington,Orleans,44.8308815,-72.1717681,370,1,44.8308815,-72.1717681
BUTLER,,BUTLER,PA,BUTLER,,,Butler,1805,,TRUE,0,8082,TRUE,,TRUE,BUTLER,BUTLER,PA,2772622,Post Office,Butler Post Office,Butler,40.8574138,-79.8948331,323,1,40.8574138,-79.8948331
CAMPBELL'S STATION,CAMPBELL'S,CAMPBELL'S STATION,TN,KNOX,,,Knox,1805,1882,TRUE,4,8594,TRUE,77,TRUE,CAMPBELLS,KNOX,TN,1299507,Populated Place,Campbells,Knox,35.9642524,-83.7635107,263,0.9,35.9642524,-83.7635107
CANTERBURY,,CANTERBURY,NH,MERRIMACK,,,Merrimack,1805,,FALSE,0,8793,TRUE,,TRUE,CANTERBURY,MERRIMACK,NH,1916980,Post Office,Canterbury Post Office,Merrimack,43.3376972,-71.5643562,183,1,43.3376972,-71.5643562
CASTLETON,,CASTLETON,VT,RUTLAND,,,Rutland,1805,,TRUE,0,9346,TRUE,,TRUE,CASTLETON,RUTLAND,VT,1921789,Post Office,Castleton Post Office,Rutland,43.6121772,-73.1773366,134,1,43.6121772,-73.1773366
CEDARVILLE,,CEDARVILLE,NJ,CUMBERLAND,,,Cumberland,1805,,TRUE,0,9669,TRUE,,TRUE,CEDARVILLE,CUMBERLAND,NJ,2802227,Post Office,Cedarville Post Office,Cumberland,39.3329825,-75.2005908,8,1,39.3329825,-75.2005908
CHESHIRE,,CHESHIRE,CT,NEW HAVEN,,,New Haven,1805,,TRUE,0,10449,TRUE,,TRUE,CHESHIRE,NEW HAVEN,CT,1933463,Post Office,Cheshire Post Office,New Haven,41.5043866,-72.9032809,82,1,41.5043866,-72.9032809
